Dia,Consultes,Mes
1,33,Febrer
2,28,Febrer
3,32,Febrer
4,27,Febrer
5,34,Febrer
6,27,Febrer
7,33,Febrer
8,35,Febrer
9,33,Febrer
10,36,Febrer
11,31,Febrer
12,29,Febrer
13,34,Febrer
14,29,Febrer
15,30,Febrer
16,34,Febrer
17,30,Febrer
18,27,Febrer
19,35,Febrer
20,29,Febrer
21,28,Febrer
22,35,Febrer
23,33,Febrer
24,32,Febrer
25,30,Febrer
26,31,Febrer
27,28,Febrer
28,30,Febrer
1,34,Març
2,29,Març
3,30,Març
4,34,Març
5,30,Març
6,33,Març
7,28,Març
8,32,Març
9,27,Març
10,34,Març
11,27,Març
12,33,Març
13,33,Març
14,36,Març
15,31,Març
16,31,Març
17,28,Març
18,30,Març
19,36,Març
20,37,Març
21,36,Març
22,38,Març
23,40,Març
24,42,Març
25,37,Març
26,35,Març
27,30,Març
28,33,Març
29,28,Març
30,31,Març
31,30,Març
